"name"	"SN2010lc"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002601.txt'>CBET 2601</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010lc,MLS101031:015501+113925"
"claimedtype"	"Ia"
"discoverday"	"30"
"discoverer"	"CRTS"
"discovermonth"	"10"
"discoveryear"	"2010"
"galdec"	"+113925"
"galra"	"015501"
"host"	"A015501+1139"
"maxday"	"30"
"maxmonth"	"10"
"maxyear"	"2010"
"sndec"	"+11:39:25.2"
"snra"	"01:55:01.38"
"photometry"	"timeunit"	"MJD"	"time"	"55499.5"	"abmag"	"18.5"	"source"	"2,1"
