"name"	"SN2013cb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003509.txt'>CBET 3509</a>"	"alias"	"2"
"aliases"	"SN2013cb,PSN J11350174+1607168"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"THU-NAOC Transient Survey (TNTS)"
"discovermonth"	"5"
"discoveryear"	"2013"
"galdec"	"+160712"
"galra"	"113502"
"host"	"A113502+1607"
"hvel"	"16238"
"maxday"	"2"
"maxmonth"	"5"
"maxyear"	"2013"
"redshift"	"0.054127"
"sndec"	"+16:07:16.8"
"snra"	"11:35:01.74"
"photometry"	"timeunit"	"MJD"	"time"	"56414.5"	"abmag"	"17.4"	"source"	"2,1"
