"name"	"SN2013S"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003406.txt'>CBET 3406</a>"	"alias"	"2"
"aliases"	"SN2013S,PSN J03353029+3816597"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"THU-NAOC Transient Survey (TNTS)"
"discovermonth"	"2"
"discoveryear"	"2013"
"galdec"	"+381659"
"galra"	"033530"
"host"	"A033530+3816"
"hvel"	"5580"
"maxday"	"5"
"maxmonth"	"2"
"maxyear"	"2013"
"redshift"	"0.018576"
"sndec"	"+38:16:59.7"
"snra"	"03:35:30.29"
"photometry"	"timeunit"	"MJD"	"time"	"56328.5"	"abmag"	"14.8"	"source"	"2,1"
