"name"	"SN2011ax"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002677.txt'>CBET 2677</a>"	"alias"	"2"
"aliases"	"SN2011ax,CSS110310:073609+472716"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2011"
"galdec"	"+472715"
"galra"	"073609"
"host"	"A073609+4727"
"hvel"	"18600"
"maxday"	"9"
"maxmonth"	"3"
"maxyear"	"2011"
"redshift"	"0.062"
"sndec"	"+47:27:15.5"
"snra"	"07:36:09.01"
"photometry"	"timeunit"	"MJD"	"time"	"55629.5"	"abmag"	"18.3"	"source"	"2,1"
