"name"	"SN2010fp"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002300/CBET002350.txt'>CBET 2350</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010fp,PS1-1000296"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"PS1"
"discovermonth"	"6"
"discoveryear"	"2010"
"galdec"	"+465932"
"galra"	"121406"
"host"	"A121406+4659"
"hvel"	"87400"
"maxday"	"14"
"maxmonth"	"6"
"maxyear"	"2010"
"redshift"	"0.35"
"sndec"	"+46:59:32.37"
"snra"	"12:14:06.501"
"photometry"	"timeunit"	"MJD"	"time"	"55361.5"	"abmag"	"22.3"	"source"	"2,1"
