"name"	"SN2011D"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002627.txt'>CBET 2627</a>"	"alias"	"2"
"aliases"	"SN2011D,SNhunt30"
"claimedtype"	"IIb"
"discoverday"	"4"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"+172043"
"galra"	"030212"
"host"	"UGC 2498"
"hvel"	"6930"
"maxday"	"4"
"maxmonth"	"1"
"maxyear"	"2011"
"redshift"	"0.0231"
"sndec"	"+17:20:58.3"
"snra"	"03:02:14.53"
"photometry"	"timeunit"	"MJD"	"time"	"55565.5"	"abmag"	"17.3"	"source"	"2,1"
