"name"	"SN2011ac"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002655.txt'>CBET 2655</a>"	"alias"	"2"
"aliases"	"SN2011ac,PSN J08432216+1043476"
"claimedtype"	"Ia"
"discoverday"	"10"
"discoverer"	"LOSS"
"discovermonth"	"2"
"discoveryear"	"2011"
"galdec"	"+104334"
"galra"	"084321"
"host"	"UGC 4552"
"hvel"	"14030"
"maxday"	"10"
"maxmonth"	"2"
"maxyear"	"2011"
"redshift"	"0.0468"
"sndec"	"+10:43:47.5"
"snra"	"08:43:22.15"
"photometry"	"timeunit"	"MJD"	"time"	"55602.5"	"abmag"	"16.7"	"source"	"2,1"
