"name"	"PSN J15164680-0722021"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J15164680-0722021.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J15164680-0722021,MLS110512:151647-072202"
"claimedtype"	"unk"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2011"
"maxday"	"11"
"maxmonth"	"5"
"maxyear"	"2011"
"sndec"	"-07:22:02.0"
"snra"	"15:16:46.79"
"photometry"	"timeunit"	"MJD"	"time"	"55692.5"	"abmag"	"18.9"	"source"	"2,1"
