"name"	"SN2007qn"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"31"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+010930"
"galra"	"235909"
"host"	"A235909+0109"
"hvel"	"81200"
"maxday"	"7"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.32"
"sndec"	"+010930.0"
"snra"	"235909.24"
"photometry"	"timeunit"	"MJD"	"time"	"54404.0"	"band"	"g"	"abmag"	"22.2"	"source"	"1"
