"name"	"SN2013ec"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003595.txt'>CBET 3595</a>"	"alias"	"2"
"aliases"	"SN2013ec,PSN J16275026+4028213"
"claimedtype"	"Ia"
"discoverday"	"7"
"discoverer"	"THU-NAOC Transient Survey (TNTS)"
"discovermonth"	"7"
"discoveryear"	"2013"
"galdec"	"+402820"
"galra"	"162750"
"host"	"A162750+4028"
"hvel"	"24300"
"maxday"	"7"
"maxmonth"	"7"
"maxyear"	"2013"
"redshift"	"0.081"
"sndec"	"+40:28:21.3"
"snra"	"16:27:50.26"
"photometry"	"timeunit"	"MJD"	"time"	"56480.5"	"abmag"	"18.5"	"source"	"2,1"
