"name"	"SN2009jt"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001900/CBET001970.txt'>CBET 1970</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009jt,CSS090929:034111-093547"
"claimedtype"	"unk"
"discoverday"	"1"
"discoverer"	"CRTS"
"discovermonth"	"8"
"discoveryear"	"2009"
"galdec"	"-093546"
"galra"	"034110"
"host"	"A034110-0935"
"maxday"	"1"
"maxmonth"	"8"
"maxyear"	"2009"
"sndec"	"-09:35:46.9"
"snra"	"03:41:10.67"
"photometry"	"timeunit"	"MJD"	"time"	"55044.5"	"abmag"	"18.6"	"source"	"2,1"
