"name"	"SN2011ev"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002787.txt'>CBET 2787</a>"	"alias"	"2"
"aliases"	"SN2011ev,PSN J23453124-0756460"
"claimedtype"	"IIP"
"discoverday"	"2"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"-075646"
"galra"	"234531"
"host"	"A234531-0756"
"hvel"	"9000"
"maxday"	"2"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.027"
"sndec"	"-07:56:46.0"
"snra"	"23:45:31.23"
"photometry"	"timeunit"	"MJD"	"time"	"55867.5"	"abmag"	"17.6"	"source"	"2,1"
