"name"	"SN2013fq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003665.txt'>CBET 3665</a>"	"alias"	"2"
"aliases"	"SN2013fq,PSN J19590795-5555466"
"claimedtype"	"IIb"
"discoverday"	"14"
"discoverer"	"Stu Parker"
"discovermonth"	"9"
"discoveryear"	"2013"
"galdec"	"-555546"
"galra"	"195907"
"host"	"A195907-5555"
"hvel"	"3390"
"maxday"	"14"
"maxmonth"	"9"
"maxyear"	"2013"
"redshift"	"0.0113"
"sndec"	"-55:55:46.6"
"snra"	"19:59:07.95"
"photometry"	"timeunit"	"MJD"	"time"	"56549.5"	"abmag"	"15.3"	"source"	"2,1"
