"name"	"SN2009gm"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001800/CBET001861.txt'>CBET 1861</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009gm,CSS090523:142758+112434"
"claimedtype"	"unk"
"discoverday"	"22"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2009"
"galdec"	"+112433"
"galra"	"142758"
"host"	"A142758+1124"
"maxday"	"22"
"maxmonth"	"5"
"maxyear"	"2009"
"sndec"	"+11:24:33.9"
"snra"	"14:27:58.10"
"photometry"	"timeunit"	"MJD"	"time"	"54973.5"	"abmag"	"18.2"	"source"	"2,1"
