"name"	"ASASSN-14bb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6152'>ATEL 6152</a>"	"alias"	"2"
"aliases"	"ASASSN-14bb,iPTF14axo"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"5"
"discoveryear"	"2014"
"maxday"	"18"
"maxmonth"	"5"
"maxyear"	"2014"
"redshift"	"0.022"
"sndec"	"+38:39:40.8"
"snra"	"12:14:11.30"
"photometry"	"timeunit"	"MJD"	"time"	"56795.5"	"abmag"	"16.0"	"source"	"2,1"
