"name"	"SN2012cr"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003141.txt'>CBET 3141</a>"	"alias"	"2"
"aliases"	"SN2012cr,PSN J12422445-0702576"
"claimedtype"	"II"
"discoverday"	"24"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2012"
"galdec"	"-070239"
"galra"	"124225"
"host"	"NGC 4626"
"hvel"	"2895"
"maxday"	"24"
"maxmonth"	"5"
"maxyear"	"2012"
"redshift"	"0.009"
"sndec"	"-07:02:57.6"
"snra"	"12:42:24.45"
"photometry"	"timeunit"	"MJD"	"time"	"56071.5"	"abmag"	"17.5"	"source"	"2,1"
