"name"	"SN2003br"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"II"
"discoverday"	"7"
"discoverer"	"LOTOSS"
"discovermonth"	"3"
"discoveryear"	"2003"
"galdec"	"-275943"
"galra"	"143436"
"host"	"M-05-34-18"
"hvel"	"3770"
"maxday"	"7"
"maxmonth"	"3"
"maxyear"	"2003"
"redshift"	"0.0127"
"sndec"	"-275948.8"
"snra"	"143434.98"
"photometry"	"timeunit"	"MJD"	"time"	"52705.5"	"band"	"C"	"abmag"	"17.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52706.5"	"band"	"C"	"abmag"	"17.4"	"source"	"1,2"
