"name"	"SN2014bb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003875.txt'>CBET 3875</a>"	"alias"	"2"
"aliases"	"SN2014bb,PSN J13324911+4152151"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"5"
"discoveryear"	"2014"
"galdec"	"+415219"
"galra"	"133249"
"host"	"NGC 5214"
"hvel"	"8196"
"maxday"	"24"
"maxmonth"	"5"
"maxyear"	"2014"
"redshift"	"0.026942"
"sndec"	"+41:52:15.1"
"snra"	"13:32:49.11"
"photometry"	"timeunit"	"MJD"	"time"	"56801.5"	"abmag"	"15.9"	"source"	"2,1"
