"name"	"SN2000J"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"4"
"discoverer"	"Puckett et al."
"discovermonth"	"2"
"discoveryear"	"2000"
"galdec"	"+292205"
"galra"	"133118"
"host"	"UGC 8510"
"hvel"	"14421"
"maxday"	"3"
"maxmonth"	"3"
"maxyear"	"2000"
"redshift"	"0.0493"
"sndec"	"+292232.3"
"snra"	"133116.24"
"photometry"	"timeunit"	"MJD"	"time"	"51578.37"	"band"	"C"	"abmag"	"19.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51584.3"	"band"	"B"	"abmag"	"19.66"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51584.3"	"band"	"V"	"abmag"	"18.52"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51591.19"	"band"	"R"	"abmag"	"18.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51604.02"	"band"	"C"	"abmag"	"18.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51606.07"	"band"	"C"	"abmag"	"18.4"	"source"	"1,2"
