"name"	"SN2013bt"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003497.txt'>CBET 3497</a>"	"alias"	"2"
"aliases"	"SN2013bt,PSN J14211513+6134159"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2013"
"galdec"	"+613446"
"galra"	"142119"
"host"	"PGC 51271"
"hvel"	"10926"
"maxday"	"20"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.036446"
"sndec"	"+61:34:15.9"
"snra"	"14:21:15.13"
"photometry"	"timeunit"	"MJD"	"time"	"56402.5"	"abmag"	"17.4"	"source"	"2,1"
