"name"	"MASTER OT J221829.51-024708.5"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=8009'>ATEL 8009</a>"	"alias"	"2"
"aliases"	"MASTER OT J221829.51-024708.5"
"claimedtype"	"Ia"
"discoverday"	"4"
"discoverer"	"MASTER"
"discovermonth"	"9"
"discoveryear"	"2015"
"maxday"	"4"
"maxmonth"	"9"
"maxyear"	"2015"
"redshift"	"0.094"
"sndec"	"-02:47:08.5"
"snra"	"22:18:29.51"
"photometry"	"timeunit"	"MJD"	"time"	"57269.5"	"abmag"	"18.2"	"source"	"2,1"
