"name"	"SN2008av"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001200/CBET001278.txt'>CBET 1278</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008av,CSS080302:145726+232348"
"claimedtype"	"unk"
"discoverday"	"1"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2008"
"galdec"	"+232405"
"galra"	"145726"
"host"	"A145726+2324"
"maxday"	"1"
"maxmonth"	"3"
"maxyear"	"2008"
"sndec"	"+23:23:48.3"
"snra"	"14:57:26.27"
"photometry"	"timeunit"	"MJD"	"time"	"54526.5"	"abmag"	"19.1"	"source"	"2,1"
