"name"	"SN2009ne"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002100/CBET002101.txt'>CBET 2101</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009ne,CSS091110:120737+204213"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2009"
"galdec"	"+204213"
"galra"	"120736"
"host"	"A120736+2042"
"maxday"	"9"
"maxmonth"	"11"
"maxyear"	"2009"
"sndec"	"+20:42:13.4"
"snra"	"12:07:36.61"
"photometry"	"timeunit"	"MJD"	"time"	"55144.5"	"abmag"	"18.6"	"source"	"2,1"
