"name"	"MASTER OT J013254.75-013727.2"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6687'>ATEL 6687</a>"	"alias"	"2"
"aliases"	"MASTER OT J013254.75-013727.2,CSS141118:013255-013727"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"MASTER"
"discovermonth"	"11"
"discoveryear"	"2014"
"host"	"PGC 1114159"
"maxday"	"17"
"maxmonth"	"11"
"maxyear"	"2014"
"redshift"	"0.0796"
"sndec"	"-01:37:27.2"
"snra"	"01:32:54.75"
"photometry"	"timeunit"	"MJD"	"time"	"56978.5"	"abmag"	"18.2"	"source"	"2,1"
