"name"	"SN2011ai"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002662.txt'>CBET 2662</a>"	"alias"	"2"
"aliases"	"SN2011ai,PSN J14290502+4154427"
"claimedtype"	"Ia"
"discoverday"	"23"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"2"
"discoveryear"	"2011"
"galdec"	"+415429"
"galra"	"142906"
"host"	"PGC 2188954"
"hvel"	"10547"
"maxday"	"23"
"maxmonth"	"2"
"maxyear"	"2011"
"redshift"	"0.0358"
"sndec"	"+41:54:42.7"
"snra"	"14:29:05.01"
"photometry"	"timeunit"	"MJD"	"time"	"55615.5"	"abmag"	"17.5"	"source"	"2,1"
