"name"	"SN2014da"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003966.txt'>CBET 3966</a>"	"alias"	"2"
"aliases"	"SN2014da,PSN J00291512+0251576"
"claimedtype"	"Ia-91bg"
"discoverday"	"7"
"discoverer"	"LOSS"
"discovermonth"	"8"
"discoveryear"	"2014"
"galdec"	"+025150"
"galra"	"002915"
"host"	"NGC 128"
"hvel"	"4241"
"maxday"	"7"
"maxmonth"	"8"
"maxyear"	"2014"
"redshift"	"0.0141"
"sndec"	"+02:51:57.6"
"snra"	"00:29:15.12"
"photometry"	"timeunit"	"MJD"	"time"	"56876.5"	"abmag"	"15.4"	"source"	"2,1"
