"name"	"SN2013fd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003645.txt'>CBET 3645</a>"	"alias"	"2"
"aliases"	"SN2013fd,PSN J01340066-3423404"
"claimedtype"	"II"
"discoverday"	"30"
"discoverer"	"Stu Parker"
"discovermonth"	"8"
"discoveryear"	"2013"
"galdec"	"-342315"
"galra"	"013400"
"host"	"ESO 353-G14"
"hvel"	"3808"
"maxday"	"30"
"maxmonth"	"8"
"maxyear"	"2013"
"redshift"	"0.013"
"sndec"	"-34:23:40.4"
"snra"	"01:34:00.66"
"photometry"	"timeunit"	"MJD"	"time"	"56534.5"	"abmag"	"16.7"	"source"	"2,1"
