"name"	"SN2011hy"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002908.txt'>CBET 2908</a>"	"alias"	"2"
"aliases"	"SN2011hy,PSN J04450526+7247026"
"claimedtype"	"II"
"discoverday"	"26"
"discoverer"	"Giancarlo Cortini"
"discovermonth"	"12"
"discoveryear"	"2011"
"galdec"	"+724710"
"galra"	"044507"
"host"	"UGC 3131"
"hvel"	"4754"
"maxday"	"26"
"maxmonth"	"12"
"maxyear"	"2011"
"redshift"	"0.0159"
"sndec"	"+72:47:02.5"
"snra"	"04:45:05.26"
"photometry"	"timeunit"	"MJD"	"time"	"55921.5"	"abmag"	"16.9"	"source"	"2,1"
