"name"	"ASASSN-15bk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6979'>ATEL 6979</a>"	"alias"	"2"
"source"	"name"	"Wim Cuppens"	"alias"	"3"
"aliases"	"ASASSN-15bk,PS15yq"
"claimedtype"	"Ia"
"discoverday"	"23"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"1"
"discoveryear"	"2015"
"host"	"CGCG 78-56"
"maxday"	"23"
"maxmonth"	"1"
"maxyear"	"2015"
"redshift"	"0.0343"
"sndec"	"+11:16:16.4"
"snra"	"15:44:12.43"
"photometry"	"timeunit"	"MJD"	"time"	"57045.5"	"abmag"	"16.7"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"57046.58"	"band"	"R"	"abmag"	"16.7"	"source"	"3,1"
