"name"	"SN2011aq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002671.txt'>CBET 2671</a>"	"alias"	"2"
"aliases"	"SN2011aq,PSN J02424814+2834258"
"claimedtype"	"II"
"discoverday"	"23"
"discoverer"	"LOSS"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"+382427"
"galra"	"024248"
"host"	"NGC 1056"
"hvel"	"1570"
"maxday"	"23"
"maxmonth"	"1"
"maxyear"	"2011"
"redshift"	"0.0051"
"sndec"	"+28:34:25.7"
"snra"	"02:42:48.13"
"photometry"	"timeunit"	"MJD"	"time"	"55584.5"	"abmag"	"18.0"	"source"	"2,1"
