"name"	"SN2013eo"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003614.txt'>CBET 3614</a>"	"alias"	"2"
"aliases"	"SN2013eo,PSN J20065788-5625312"
"claimedtype"	"Ia"
"discoverday"	"30"
"discoverer"	"Peter Marples and Greg Bock"
"discovermonth"	"7"
"discoveryear"	"2013"
"galdec"	"-562518"
"galra"	"200656"
"host"	"PGC 161935"
"hvel"	"15590"
"maxday"	"30"
"maxmonth"	"7"
"maxyear"	"2013"
"redshift"	"0.05"
"sndec"	"-56:25:31.2"
"snra"	"20:06:57.88"
"photometry"	"timeunit"	"MJD"	"time"	"56503.5"	"abmag"	"17.4"	"source"	"2,1"
