"name"	"SN2009dv"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001791.txt'>CBET 1791</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009dv,CSS090418:132440+163405"
"claimedtype"	"unk"
"discoverday"	"17"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2009"
"galdec"	"+163405"
"galra"	"132440"
"host"	"A132440+1634"
"hvel"	"8700"
"maxday"	"17"
"maxmonth"	"4"
"maxyear"	"2009"
"redshift"	"0.029"
"sndec"	"+16:34:05.5"
"snra"	"13:24:40.15"
"photometry"	"timeunit"	"MJD"	"time"	"54938.5"	"abmag"	"19.3"	"source"	"2,1"
