"name"	"SN2006hl"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"SDSS-II"
"discovermonth"	"9"
"discoveryear"	"2006"
"galdec"	"+003158"
"galra"	"232245"
"host"	"A232245+0031"
"hvel"	"41600"
"maxday"	"25"
"maxmonth"	"9"
"maxyear"	"2006"
"redshift"	"0.15"
"sndec"	"+003158.4"
"snra"	"232245.98"
"photometry"	"timeunit"	"MJD"	"time"	"53996.0"	"band"	"g"	"abmag"	"21.1"	"source"	"1"
