"name"	"SN2000ck"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"II pec"
"discoverday"	"26"
"discoverer"	"Puckett"
"discovermonth"	"5"
"discoveryear"	"2000"
"galdec"	"+282522"
"galra"	"135806"
"host"	"IC 4355"
"hvel"	"8048"
"maxday"	"11"
"maxmonth"	"8"
"maxyear"	"2000"
"redshift"	"0.0272"
"sndec"	"+282513.0"
"snra"	"135806.15"
"photometry"	"timeunit"	"MJD"	"time"	"51690.28"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51694.51"	"band"	"R"	"abmag"	"16.99"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51697.05"	"band"	"R"	"abmag"	"17.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51700.85"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51702.9"	"band"	"R"	"abmag"	"17.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51767.88"	"band"	"R"	"abmag"	"16.7"	"source"	"1,2"
