"name"	"SN2002jk"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"discoverday"	"4"
"discoverer"	"Wood-Vasey et al."
"discovermonth"	"2"
"discoveryear"	"2002"
"galdec"	"+155809"
"galra"	"104414"
"host"	"A104414+1558"
"maxday"	"23"
"maxmonth"	"2"
"maxyear"	"2002"
"sndec"	"+155809.9"
"snra"	"104414.39"
"photometry"	"timeunit"	"MJD"	"time"	"52309.0"	"band"	"C"	"abmag"	"20.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52319.37"	"band"	"C"	"abmag"	"17.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52328.0"	"band"	"C"	"abmag"	"17.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52344.0"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52355.0"	"band"	"C"	"abmag"	"18.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52386.0"	"band"	"C"	"abmag"	"18.5"	"source"	"1,2"
