"name"	"SN2013cm"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003525.txt'>CBET 3525</a>"	"alias"	"2"
"aliases"	"SN2013cm,CSS130510:172002+234451"
"claimedtype"	"Ia"
"discoverday"	"16"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2013"
"galdec"	"+234502"
"galra"	"172002"
"host"	"PGC1693013"
"hvel"	"12000"
"maxday"	"16"
"maxmonth"	"5"
"maxyear"	"2013"
"redshift"	"0.04"
"sndec"	"+23:44:51.3"
"snra"	"17:20:01.93"
"photometry"	"timeunit"	"MJD"	"time"	"56428.5"	"abmag"	"18.3"	"source"	"2,1"
