"name"	"SN2013as"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003447.txt'>CBET 3447</a>"	"alias"	"2"
"aliases"	"SN2013as,CSS130315:115252-185920"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2013"
"galdec"	"-185919"
"galra"	"115252"
"host"	"A115252-1859"
"hvel"	"21000"
"maxday"	"14"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.07"
"sndec"	"-18:59:19.8"
"snra"	"11:52:52.34"
"photometry"	"timeunit"	"MJD"	"time"	"56365.5"	"abmag"	"18.1"	"source"	"2,1"
