"name"	"iPTF14gnk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6651'>ATEL 6651</a>"	"alias"	"2"
"aliases"	"iPTF14gnk,CSS141018:222136+272503"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"PTF"
"discovermonth"	"10"
"discoveryear"	"2014"
"maxday"	"17"
"maxmonth"	"10"
"maxyear"	"2014"
"redshift"	"0.09"
"sndec"	"+27:25:03.3"
"snra"	"22:21:35.58"
"photometry"	"timeunit"	"MJD"	"time"	"56947.5"	"abmag"	"18.9"	"source"	"2,1"
