"name"	"SN2002ih"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"29"
"discoverer"	"Miknaitis et al., SDSS"
"discovermonth"	"10"
"discoveryear"	"2002"
"galdec"	"-003802"
"galra"	"015704"
"host"	"A015704-0038"
"hvel"	"54100"
"maxday"	"4"
"maxmonth"	"11"
"maxyear"	"2002"
"redshift"	"0.2"
"sndec"	"-003802.2"
"snra"	"015704.49"
"photometry"	"timeunit"	"MJD"	"time"	"52576.0"	"band"	"r"	"abmag"	"21.5"	"source"	"1"
