"name"	"SN2011fk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002802.txt'>CBET 2802</a>"	"alias"	"2"
"aliases"	"SN2011fk,PSN J00544206+3645514"
"claimedtype"	"Ia"
"discoverday"	"6"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"10"
"discoveryear"	"2011"
"galdec"	"+364553"
"galra"	"005442"
"host"	"UGC 549"
"hvel"	"6035"
"maxday"	"6"
"maxmonth"	"10"
"maxyear"	"2011"
"redshift"	"0.0201"
"sndec"	"+36:45:51.4"
"snra"	"00:54:42.06"
"photometry"	"timeunit"	"MJD"	"time"	"55840.5"	"abmag"	"15.8"	"source"	"2,1"
