"name"	"SN2010hu"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002400/CBET002455.txt'>CBET 2455</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010hu,MLS100911:232213-051907"
"claimedtype"	"Ia"
"discoverday"	"10"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2010"
"galdec"	"-051907"
"galra"	"232213"
"host"	"A232213-0519"
"hvel"	"26400"
"maxday"	"10"
"maxmonth"	"9"
"maxyear"	"2010"
"redshift"	"0.088"
"sndec"	"-05:19:07.5"
"snra"	"23:22:13.33"
"photometry"	"timeunit"	"MJD"	"time"	"55449.5"	"abmag"	"18.6"	"source"	"2,1"
