"name"	"SN2000K"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"Sala, Puckett, George"
"discovermonth"	"2"
"discoveryear"	"2000"
"galdec"	"+560106"
"galra"	"114748"
"host"	"M+09-19-191"
"hvel"	"16000"
"maxday"	"28"
"maxmonth"	"2"
"maxyear"	"2000"
"redshift"	"0.0549"
"sndec"	"+560101.3"
"snra"	"114750.08"
"photometry"	"timeunit"	"MJD"	"time"	"51602.07"	"band"	"C"	"abmag"	"16.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51602.36"	"band"	"C"	"abmag"	"18.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51605.97"	"band"	"C"	"abmag"	"17.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51609.77"	"band"	"C"	"abmag"	"17.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51616.89"	"band"	"C"	"abmag"	"18.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51618.01"	"band"	"R"	"abmag"	"18.5"	"source"	"1,2"
