"name"	"LSQ14eek"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6400'>ATEL 6400</a>"	"alias"	"2"
"aliases"	"LSQ14eek,CSS140831:213650-022808"
"claimedtype"	"Ia"
"discoverday"	"30"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"8"
"discoveryear"	"2014"
"maxday"	"30"
"maxmonth"	"8"
"maxyear"	"2014"
"redshift"	"0.08"
"sndec"	"-02:28:06.4"
"snra"	"21:36:50.32"
"photometry"	"timeunit"	"MJD"	"time"	"56899.5"	"abmag"	"18.0"	"source"	"2,1"
