"name"	"SN2011jo"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002964.txt'>CBET 2964</a>"	"alias"	"2"
"aliases"	"SN2011jo,PSN J00083457-3351148"
"claimedtype"	"IIP"
"discoverday"	"1"
"discoverer"	"Stu Parker"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"-335130"
"galra"	"000834"
"host"	"NGC 10"
"hvel"	"6818"
"maxday"	"1"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.0227"
"sndec"	"-33:51:14.8"
"snra"	"00:08:34.57"
"photometry"	"timeunit"	"MJD"	"time"	"55927.5"	"abmag"	"16.3"	"source"	"2,1"
