"name"	"SN2013gr"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003733.txt'>CBET 3733</a>"	"alias"	"2"
"aliases"	"SN2013gr,PSN J01462790-5840238"
"claimedtype"	"Ia-pec"
"discoverday"	"29"
"discoverer"	"Peter Marples"
"discovermonth"	"11"
"discoveryear"	"2013"
"galdec"	"-584025"
"galra"	"014630"
"host"	"ESO 114-G7"
"hvel"	"2125"
"maxday"	"29"
"maxmonth"	"11"
"maxyear"	"2013"
"redshift"	"0.007"
"sndec"	"-58:40:23.8"
"snra"	"01:46:27.90"
"photometry"	"timeunit"	"MJD"	"time"	"56625.5"	"abmag"	"17.2"	"source"	"2,1"
