"name"	"SN2006ka"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"11"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"+001336"
"galra"	"021826"
"host"	"A021826+0013"
"hvel"	"65800"
"maxday"	"16"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.25"
"sndec"	"+001336.0"
"snra"	"021826.68"
"photometry"	"timeunit"	"MJD"	"time"	"54019.0"	"band"	"g"	"abmag"	"21.9"	"source"	"1"
