"name"	"SN2011jf"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002951.txt'>CBET 2951</a>"	"alias"	"2"
"aliases"	"SN2011jf,PSN J02385461+2750487"
"claimedtype"	"Ib/c"
"discoverday"	"26"
"discoverer"	"Giancarlo Cortini"
"discovermonth"	"12"
"discoveryear"	"2011"
"galdec"	"+275048"
"galra"	"023852"
"host"	"UGC 2134"
"hvel"	"4565"
"maxday"	"26"
"maxmonth"	"12"
"maxyear"	"2011"
"redshift"	"0.0153"
"sndec"	"+27:50:48.7"
"snra"	"02:38:54.61"
"photometry"	"timeunit"	"MJD"	"time"	"55921.5"	"abmag"	"17.7"	"source"	"2,1"
