"name"	"SN2013aa"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003416.txt'>CBET 3416</a>"	"alias"	"2"
"aliases"	"SN2013aa,PSN J14323388-4413278"
"claimedtype"	"Ia"
"discoverday"	"23"
"discoverer"	"Stu Parker"
"discovermonth"	"2"
"discoveryear"	"2013"
"galdec"	"-441028"
"galra"	"143241"
"host"	"NGC 5643"
"hvel"	"1163"
"maxday"	"23"
"maxmonth"	"2"
"maxyear"	"2013"
"redshift"	"0.003999"
"sndec"	"-44:13:27.8"
"snra"	"14:32:33.88"
"photometry"	"timeunit"	"MJD"	"time"	"56346.5"	"abmag"	"11.3"	"source"	"2,1"
