"name"	"SN2007qv"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"II"
"discoverday"	"4"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2007"
"galdec"	"-010637"
"galra"	"223507"
"host"	"A223507-0106"
"hvel"	"28500"
"maxday"	"7"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.1"
"sndec"	"-010637.5"
"snra"	"223507.91"
"photometry"	"timeunit"	"MJD"	"time"	"54408.0"	"band"	"g"	"abmag"	"21.9"	"source"	"1"
