"name"	"SN2012id"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003361.txt'>CBET 3361</a>"	"alias"	"2"
"aliases"	"SN2012id,PSN J04424114+1834597"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"M. Koishikawa"
"discovermonth"	"1"
"discoveryear"	"2013"
"galdec"	"+183459"
"galra"	"044241"
"host"	"A044241+1834"
"hvel"	"3600"
"maxday"	"2"
"maxmonth"	"1"
"maxyear"	"2013"
"redshift"	"0.012"
"sndec"	"+18:34:59.7"
"snra"	"04:42:41.14"
"photometry"	"timeunit"	"MJD"	"time"	"56294.5"	"abmag"	"16.3"	"source"	"2,1"
