"name"	"SN2011iw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002941.txt'>CBET 2941</a>"	"alias"	"2"
"aliases"	"SN2011iw,CSS111129:233448+244502"
"claimedtype"	"IIn"
"discoverday"	"28"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"+244501"
"galra"	"233448"
"host"	"A233448+2445"
"hvel"	"6900"
"maxday"	"28"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.023"
"sndec"	"+24:45:01.6"
"snra"	"23:34:48.20"
"photometry"	"timeunit"	"MJD"	"time"	"55893.5"	"abmag"	"16.9"	"source"	"2,1"
