"name"	"SN2006no"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"29"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"-010855"
"galra"	"220821"
"host"	"A220821-0108"
"hvel"	"65800"
"maxday"	"5"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.25"
"sndec"	"-010855.7"
"snra"	"220821.44"
"photometry"	"timeunit"	"MJD"	"time"	"54037.0"	"band"	"g"	"abmag"	"21.4"	"source"	"1"
