"name"	"SN2012hj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003333.txt'>CBET 3333</a>"	"alias"	"2"
"aliases"	"SN2012hj,PSN J11071919+4622462"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"Tom Boles"
"discovermonth"	"2"
"discoveryear"	"2012"
"galdec"	"+462300"
"galra"	"110720"
"host"	"MCG +8-20-89"
"hvel"	"7374"
"maxday"	"8"
"maxmonth"	"2"
"maxyear"	"2012"
"redshift"	"0.0246"
"sndec"	"+46:22:46.2"
"snra"	"11:07:19.19"
"photometry"	"timeunit"	"MJD"	"time"	"55965.5"	"abmag"	"17.5"	"source"	"2,1"
