"name"	"SN2014bg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003890.txt'>CBET 3890</a>"	"alias"	"2"
"aliases"	"SN2014bg,PSN J14354590+2443179"
"claimedtype"	"Ia"
"discoverday"	"7"
"discoverer"	"Mirco Villi, Mario Bombardini, Alessandro Benazzi"
"discovermonth"	"6"
"discoveryear"	"2014"
"galdec"	"+244333"
"galra"	"143546"
"host"	"UGC 9396"
"hvel"	"10820"
"maxday"	"7"
"maxmonth"	"6"
"maxyear"	"2014"
"redshift"	"0.03604"
"sndec"	"+24:43:17.9"
"snra"	"14:35:45.90"
"photometry"	"timeunit"	"MJD"	"time"	"56815.5"	"abmag"	"16.1"	"source"	"2,1"
