"name"	"SN2003cg"
"source"	"name"	"<a href='http://heracles.astro.berkeley.edu/sndb/info'>UCB Filippenko Group's Supernova Database (SNDB)</a>"	"alias"	"1"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"2"	"secondary"	"1"
"source"	"name"	"N.Elias-Rosa et al., 2006, astro-ph/0603316"	"alias"	"3"
"source"	"name"	"VSNET Oct2003"	"alias"	"4"
"source"	"name"	"M.Hicken et al., 2009, astro-ph/0901.4787"	"alias"	"5"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"6"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"Itagaki, Arbour"
"discovermonth"	"3"
"discoveryear"	"2003"
"galdec"	"+032758"
"galra"	"101415"
"host"	"NGC 3169"
"hvel"	"1233"
"maxday"	"27"
"maxmonth"	"3"
"maxyear"	"2003"
"redshift"	"0.00412"
"sndec"	"+032801.7"
"snra"	"101416.00"
"photometry"	"timeunit"	"MJD"	"time"	"52710.8"	"band"	"R"	"abmag"	"19"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52719.59"	"band"	"C"	"abmag"	"14.7"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52719.8"	"band"	"R"	"abmag"	"14.9"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52720.26"	"band"	"I"	"instrument"	"kait3"	"abmag"	"14.38500"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52720.26"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.94900"	"aberr"	"0.01100"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52720.26"	"band"	"V"	"instrument"	"kait3"	"abmag"	"15.69100"	"aberr"	"0.02600"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52720.26"	"band"	"B"	"instrument"	"kait3"	"abmag"	"16.78100"	"aberr"	"0.02600"	"source"	"1"
