"name"	"SN2013aq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003444.txt'>CBET 3444</a>"	"alias"	"2"
"aliases"	"SN2013aq,PSN J14244257-0312309"
"claimedtype"	"IIP"
"discoverday"	"12"
"discoverer"	"Peter Aldous"
"discovermonth"	"3"
"discoveryear"	"2013"
"galdec"	"-031244"
"galra"	"142443"
"host"	"NGC 5604"
"hvel"	"2758"
"maxday"	"12"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.008"
"sndec"	"-03:12:30.9"
"snra"	"14:24:42.57"
"photometry"	"timeunit"	"MJD"	"time"	"56363.5"	"abmag"	"16.7"	"source"	"2,1"
