"name"	"SN2008iu"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001600/CBET001681.txt'>CBET 1681</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008iu,SNF20080913-037"
"claimedtype"	"Ic"
"discoverday"	"29"
"discoverer"	"CRTS"
"discovermonth"	"10"
"discoveryear"	"2008"
"galdec"	"-002136"
"galra"	"043655"
"host"	"A043655-0021"
"maxday"	"29"
"maxmonth"	"10"
"maxyear"	"2008"
"sndec"	"-00:21:35.6"
"snra"	"04:36:55.20"
"photometry"	"timeunit"	"MJD"	"time"	"54768.5"	"abmag"	"18.1"	"source"	"2,1"
