"name"	"K0811-1"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001600/CBET001682.txt'>CBET 1682</a>"	"alias"	"2"
"aliases"	"K0811-1,CSS081118:025315+200613"
"claimedtype"	"unk"
"discoverday"	"17"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2008"
"maxday"	"17"
"maxmonth"	"11"
"maxyear"	"2008"
"sndec"	"+20:06:13.2"
"snra"	"02:53:14.87"
"photometry"	"timeunit"	"MJD"	"time"	"54787.5"	"abmag"	"18.9"	"source"	"2,1"
