"name"	"SN2006fa"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"SDSS-II"
"discovermonth"	"8"
"discoveryear"	"2006"
"galdec"	"-005849"
"galra"	"213530"
"host"	"A213530-0058"
"hvel"	"44200"
"maxday"	"2"
"maxmonth"	"9"
"maxyear"	"2006"
"redshift"	"0.16"
"sndec"	"-005849.0"
"snra"	"213530.74"
"photometry"	"timeunit"	"MJD"	"time"	"53974.0"	"band"	"g"	"abmag"	"20.8"	"source"	"1"
