"name"	"SN2006kx"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"16"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"+002841"
"galra"	"034214"
"host"	"A034214+0028"
"hvel"	"44200"
"maxday"	"29"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.16"
"sndec"	"+002841.8"
"snra"	"034214.67"
"photometry"	"timeunit"	"MJD"	"time"	"54024.0"	"band"	"g"	"abmag"	"21.1"	"source"	"1"
