"name"	"SN2001dq"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ic?"
"discoverday"	"28"
"discoverer"	"LOTOSS"
"discovermonth"	"7"
"discoveryear"	"2001"
"galdec"	"+461251"
"galra"	"163509"
"host"	"IC 1222"
"hvel"	"9208"
"maxday"	"28"
"maxmonth"	"7"
"maxyear"	"2001"
"redshift"	"0.0312"
"sndec"	"+461250.5"
"snra"	"163510.95"
"photometry"	"timeunit"	"MJD"	"time"	"52118.2"	"band"	"C"	"abmag"	"18.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52122.2"	"band"	"C"	"abmag"	"18.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52130.2"	"band"	"C"	"abmag"	"18.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52135.2"	"band"	"C"	"abmag"	"18.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52136.2"	"band"	"C"	"abmag"	"18.8"	"source"	"1,2"
