"name"	"SN2007rj"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2007"
"galdec"	"-000533"
"galra"	"015358"
"host"	"A015358-0005"
"hvel"	"27000"
"maxday"	"10"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.0945"
"sndec"	"-000533.6"
"snra"	"015358.86"
"photometry"	"timeunit"	"MJD"	"time"	"54406.0"	"band"	"g"	"abmag"	"22.5"	"source"	"1"
