"name"	"SN2011fb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002787.txt'>CBET 2787</a>"	"alias"	"2"
"aliases"	"SN2011fb,MLS110628:161930-055908"
"claimedtype"	"IIP"
"discoverday"	"9"
"discoverer"	"CRTS"
"discovermonth"	"7"
"discoveryear"	"2011"
"galdec"	"-055907"
"galra"	"161930"
"host"	"A161930-0559"
"hvel"	"12000"
"maxday"	"9"
"maxmonth"	"7"
"maxyear"	"2011"
"redshift"	"0.04"
"sndec"	"-05:59:07.7"
"snra"	"16:19:30.48"
"photometry"	"timeunit"	"MJD"	"time"	"55751.5"	"abmag"	"18.9"	"source"	"2,1"
