"name"	"SN2014M"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003796.txt'>CBET 3796</a>"	"alias"	"2"
"aliases"	"SN2014M,PSN J15151721+7529095"
"claimedtype"	"Ia"
"discoverday"	"1"
"discoverer"	"Antarctic Survey Telescope (AST)"
"discovermonth"	"2"
"discoveryear"	"2014"
"galdec"	"+752907"
"galra"	"151516"
"host"	"PGC2768068"
"hvel"	"6660"
"maxday"	"1"
"maxmonth"	"2"
"maxyear"	"2014"
"redshift"	"0.0222"
"sndec"	"+75:29:09.5"
"snra"	"15:15:17.21"
"photometry"	"timeunit"	"MJD"	"time"	"56689.5"	"abmag"	"15.5"	"source"	"2,1"
